index,quantity DS HTL,P3HT,PCBM,temperature,dew point,hummidity,pressure,time,ratio P3HT:PCBM
174,0.15,0.9,1.5,17.22,2.78,39.0,1007.79,5.0,0.6
175,0.15,0.9,1.6,17.22,2.78,39.0,1007.79,0.0,0.5625
176,0.15,0.9,1.6,17.22,2.78,39.0,1007.79,1.0,0.5625
177,0.15,0.9,1.6,17.22,2.78,39.0,1007.79,2.0,0.5625
178,0.15,0.9,1.6,17.22,2.78,39.0,1007.79,3.0,0.5625
179,0.15,0.9,1.6,17.22,2.78,39.0,1007.79,4.0,0.5625
180,0.15,0.9,1.6,17.22,2.78,39.0,1007.79,5.0,0.5625
181,0.15,1.0,0.7,17.22,2.78,39.0,1007.79,0.0,1.4285714285714286
182,0.15,1.0,0.7,17.22,2.78,39.0,1007.79,1.0,1.4285714285714286
183,0.15,1.0,0.7,17.22,2.78,39.0,1007.79,2.0,1.4285714285714286
184,0.15,1.0,0.7,17.22,2.78,39.0,1007.79,3.0,1.4285714285714286
185,0.15,1.0,0.7,17.22,2.78,39.0,1007.79,4.0,1.4285714285714286
186,0.15,1.0,0.7,17.22,2.78,39.0,1007.79,5.0,1.4285714285714286
187,0.15,1.0,0.7999999999999999,17.22,2.78,39.0,1007.79,0.0,1.25
188,0.15,1.0,0.7999999999999999,17.22,2.78,39.0,1007.79,1.0,1.25
189,0.15,1.0,0.7999999999999999,17.22,2.78,39.0,1007.79,2.0,1.25
190,0.15,1.0,0.7999999999999999,17.22,2.78,39.0,1007.79,3.0,1.25
191,0.15,1.0,0.7999999999999999,17.22,2.78,39.0,1007.79,4.0,1.25
192,0.15,1.0,0.7999999999999999,17.22,2.78,39.0,1007.79,5.0,1.25
193,0.15,1.0,0.9,17.22,2.78,39.0,1007.79,0.0,1.1111111111111112
194,0.15,1.0,0.9,17.22,2.78,39.0,1007.79,1.0,1.1111111111111112
195,0.15,1.0,0.9,17.22,2.78,39.0,1007.79,2.0,1.1111111111111112
196,0.15,1.0,0.9,17.22,2.78,39.0,1007.79,3.0,1.1111111111111112
197,0.15,1.0,0.9,17.22,2.78,39.0,1007.79,4.0,1.1111111111111112
198,0.15,1.0,0.9,17.22,2.78,39.0,1007.79,5.0,1.1111111111111112
199,0.15,1.0,1.0,17.22,2.78,39.0,1007.79,0.0,1.0
200,0.15,1.0,1.0,17.22,2.78,39.0,1007.79,1.0,1.0
201,0.15,1.0,1.0,17.22,2.78,39.0,1007.79,2.0,1.0
202,0.15,1.0,1.0,17.22,2.78,39.0,1007.79,3.0,1.0
203,0.15,1.0,1.0,17.22,2.78,39.0,1007.79,4.0,1.0
204,0.15,1.0,1.0,17.22,2.78,39.0,1007.79,5.0,1.0
205,0.15,1.0,1.1,17.22,2.78,39.0,1007.79,0.0,0.9090909090909091
206,0.15,1.0,1.1,17.22,2.78,39.0,1007.79,1.0,0.9090909090909091
207,0.15,1.0,1.1,17.22,2.78,39.0,1007.79,2.0,0.9090909090909091
208,0.15,1.0,1.1,17.22,2.78,39.0,1007.79,3.0,0.9090909090909091
209,0.15,1.0,1.1,17.22,2.78,39.0,1007.79,4.0,0.9090909090909091
210,0.15,1.0,1.1,17.22,2.78,39.0,1007.79,5.0,0.9090909090909091
211,0.15,1.0,1.2000000000000002,17.22,2.78,39.0,1007.79,0.0,0.8333333333333333
212,0.15,1.0,1.2000000000000002,17.22,2.78,39.0,1007.79,1.0,0.8333333333333333
213,0.15,1.0,1.2000000000000002,17.22,2.78,39.0,1007.79,2.0,0.8333333333333333
214,0.15,1.0,1.2000000000000002,17.22,2.78,39.0,1007.79,3.0,0.8333333333333333
215,0.15,1.0,1.2000000000000002,17.22,2.78,39.0,1007.79,4.0,0.8333333333333333
216,0.15,1.0,1.2000000000000002,17.22,2.78,39.0,1007.79,5.0,0.8333333333333333
217,0.15,1.0,1.3,17.22,2.78,39.0,1007.79,0.0,0.7692307692307692
218,0.15,1.0,1.3,17.22,2.78,39.0,1007.79,1.0,0.7692307692307692
219,0.15,1.0,1.3,17.22,2.78,39.0,1007.79,2.0,0.7692307692307692
220,0.15,1.0,1.3,17.22,2.78,39.0,1007.79,3.0,0.7692307692307692
221,0.15,1.0,1.3,17.22,2.78,39.0,1007.79,4.0,0.7692307692307692
222,0.15,1.0,1.3,17.22,2.78,39.0,1007.79,5.0,0.7692307692307692
223,0.15,1.0,1.4000000000000001,17.22,2.78,39.0,1007.79,0.0,0.7142857142857142
224,0.15,1.0,1.4000000000000001,17.22,2.78,39.0,1007.79,1.0,0.7142857142857142
225,0.15,1.0,1.4000000000000001,17.22,2.78,39.0,1007.79,2.0,0.7142857142857142
226,0.15,1.0,1.4000000000000001,17.22,2.78,39.0,1007.79,3.0,0.7142857142857142
227,0.15,1.0,1.4000000000000001,17.22,2.78,39.0,1007.79,4.0,0.7142857142857142
228,0.15,1.0,1.4000000000000001,17.22,2.78,39.0,1007.79,5.0,0.7142857142857142
229,0.15,1.0,1.5,17.22,2.78,39.0,1007.79,0.0,0.6666666666666666
230,0.15,1.0,1.5,17.22,2.78,39.0,1007.79,1.0,0.6666666666666666
231,0.15,1.0,1.5,17.22,2.78,39.0,1007.79,2.0,0.6666666666666666
232,0.15,1.0,1.5,17.22,2.78,39.0,1007.79,3.0,0.6666666666666666
233,0.15,1.0,1.5,17.22,2.78,39.0,1007.79,4.0,0.6666666666666666
234,0.15,1.0,1.5,17.22,2.78,39.0,1007.79,5.0,0.6666666666666666
235,0.15,1.0,1.6,17.22,2.78,39.0,1007.79,0.0,0.625
236,0.15,1.0,1.6,17.22,2.78,39.0,1007.79,1.0,0.625
237,0.15,1.0,1.6,17.22,2.78,39.0,1007.79,2.0,0.625
238,0.15,1.0,1.6,17.22,2.78,39.0,1007.79,3.0,0.625
239,0.15,1.0,1.6,17.22,2.78,39.0,1007.79,4.0,0.625
240,0.15,1.0,1.6,17.22,2.78,39.0,1007.79,5.0,0.625
241,0.15,1.1,0.7,17.22,2.78,39.0,1007.79,0.0,1.5714285714285716
242,0.15,1.1,0.7,17.22,2.78,39.0,1007.79,1.0,1.5714285714285716
243,0.15,1.1,0.7,17.22,2.78,39.0,1007.79,2.0,1.5714285714285716
244,0.15,1.1,0.7,17.22,2.78,39.0,1007.79,3.0,1.5714285714285716
245,0.15,1.1,0.7,17.22,2.78,39.0,1007.79,4.0,1.5714285714285716
246,0.15,1.1,0.7,17.22,2.78,39.0,1007.79,5.0,1.5714285714285716
247,0.15,1.1,0.7999999999999999,17.22,2.78,39.0,1007.79,0.0,1.3750000000000002
248,0.15,1.1,0.7999999999999999,17.22,2.78,39.0,1007.79,1.0,1.3750000000000002
249,0.15,1.1,0.7999999999999999,17.22,2.78,39.0,1007.79,2.0,1.3750000000000002
250,0.15,1.1,0.7999999999999999,17.22,2.78,39.0,1007.79,3.0,1.3750000000000002
251,0.15,1.1,0.7999999999999999,17.22,2.78,39.0,1007.79,4.0,1.3750000000000002
252,0.15,1.1,0.7999999999999999,17.22,2.78,39.0,1007.79,5.0,1.3750000000000002
253,0.15,1.1,0.9,17.22,2.78,39.0,1007.79,0.0,1.2222222222222223
254,0.15,1.1,0.9,17.22,2.78,39.0,1007.79,1.0,1.2222222222222223
255,0.15,1.1,0.9,17.22,2.78,39.0,1007.79,2.0,1.2222222222222223
256,0.15,1.1,0.9,17.22,2.78,39.0,1007.79,3.0,1.2222222222222223
257,0.15,1.1,0.9,17.22,2.78,39.0,1007.79,4.0,1.2222222222222223
258,0.15,1.1,0.9,17.22,2.78,39.0,1007.79,5.0,1.2222222222222223
259,0.15,1.1,1.0,17.22,2.78,39.0,1007.79,0.0,1.1
260,0.15,1.1,1.0,17.22,2.78,39.0,1007.79,1.0,1.1
261,0.15,1.1,1.0,17.22,2.78,39.0,1007.79,2.0,1.1
262,0.15,1.1,1.0,17.22,2.78,39.0,1007.79,3.0,1.1
263,0.15,1.1,1.0,17.22,2.78,39.0,1007.79,4.0,1.1
264,0.15,1.1,1.0,17.22,2.78,39.0,1007.79,5.0,1.1
265,0.15,1.1,1.1,17.22,2.78,39.0,1007.79,0.0,1.0
266,0.15,1.1,1.1,17.22,2.78,39.0,1007.79,1.0,1.0
267,0.15,1.1,1.1,17.22,2.78,39.0,1007.79,2.0,1.0
268,0.15,1.1,1.1,17.22,2.78,39.0,1007.79,3.0,1.0
269,0.15,1.1,1.1,17.22,2.78,39.0,1007.79,4.0,1.0
270,0.15,1.1,1.1,17.22,2.78,39.0,1007.79,5.0,1.0
271,0.15,1.1,1.2000000000000002,17.22,2.78,39.0,1007.79,0.0,0.9166666666666666
272,0.15,1.1,1.2000000000000002,17.22,2.78,39.0,1007.79,1.0,0.9166666666666666
273,0.15,1.1,1.2000000000000002,17.22,2.78,39.0,1007.79,2.0,0.9166666666666666
274,0.15,1.1,1.2000000000000002,17.22,2.78,39.0,1007.79,3.0,0.9166666666666666
275,0.15,1.1,1.2000000000000002,17.22,2.78,39.0,1007.79,4.0,0.9166666666666666
276,0.15,1.1,1.2000000000000002,17.22,2.78,39.0,1007.79,5.0,0.9166666666666666
277,0.15,1.1,1.3,17.22,2.78,39.0,1007.79,0.0,0.8461538461538461
278,0.15,1.1,1.3,17.22,2.78,39.0,1007.79,1.0,0.8461538461538461
279,0.15,1.1,1.3,17.22,2.78,39.0,1007.79,2.0,0.8461538461538461
280,0.15,1.1,1.3,17.22,2.78,39.0,1007.79,3.0,0.8461538461538461
281,0.15,1.1,1.3,17.22,2.78,39.0,1007.79,4.0,0.8461538461538461
282,0.15,1.1,1.3,17.22,2.78,39.0,1007.79,5.0,0.8461538461538461
283,0.15,1.1,1.4000000000000001,17.22,2.78,39.0,1007.79,0.0,0.7857142857142857
284,0.15,1.1,1.4000000000000001,17.22,2.78,39.0,1007.79,1.0,0.7857142857142857
285,0.15,1.1,1.4000000000000001,17.22,2.78,39.0,1007.79,2.0,0.7857142857142857
286,0.15,1.1,1.4000000000000001,17.22,2.78,39.0,1007.79,3.0,0.7857142857142857
287,0.15,1.1,1.4000000000000001,17.22,2.78,39.0,1007.79,4.0,0.7857142857142857
288,0.15,1.1,1.4000000000000001,17.22,2.78,39.0,1007.79,5.0,0.7857142857142857
289,0.15,1.1,1.5,17.22,2.78,39.0,1007.79,0.0,0.7333333333333334
290,0.15,1.1,1.5,17.22,2.78,39.0,1007.79,1.0,0.7333333333333334
291,0.15,1.1,1.5,17.22,2.78,39.0,1007.79,2.0,0.7333333333333334
292,0.15,1.1,1.5,17.22,2.78,39.0,1007.79,3.0,0.7333333333333334
293,0.15,1.1,1.5,17.22,2.78,39.0,1007.79,4.0,0.7333333333333334
294,0.15,1.1,1.5,17.22,2.78,39.0,1007.79,5.0,0.7333333333333334
295,0.15,1.1,1.6,17.22,2.78,39.0,1007.79,0.0,0.6875
296,0.15,1.1,1.6,17.22,2.78,39.0,1007.79,1.0,0.6875
297,0.15,1.1,1.6,17.22,2.78,39.0,1007.79,2.0,0.6875
298,0.15,1.1,1.6,17.22,2.78,39.0,1007.79,3.0,0.6875
299,0.15,1.1,1.6,17.22,2.78,39.0,1007.79,4.0,0.6875
300,0.15,1.1,1.6,17.22,2.78,39.0,1007.79,5.0,0.6875
301,0.15,1.2000000000000002,0.7,17.22,2.78,39.0,1007.79,0.0,1.7142857142857146
302,0.15,1.2000000000000002,0.7,17.22,2.78,39.0,1007.79,1.0,1.7142857142857146
303,0.15,1.2000000000000002,0.7,17.22,2.78,39.0,1007.79,2.0,1.7142857142857146
304,0.15,1.2000000000000002,0.7,17.22,2.78,39.0,1007.79,3.0,1.7142857142857146
305,0.15,1.2000000000000002,0.7,17.22,2.78,39.0,1007.79,4.0,1.7142857142857146
